#chr	begin	end	len:%id
chr1	629083	634924	5842:98.55
chr1	181422784	181422978	194:86.08
chr1	237945365	237946365	1004:82.34
chr10	19746745	19747170	428:83.29
chr10	36434473	36434684	211:86.92
chr11	10507886	10510336	2452:94.25
chr11	73510660	73510823	163:96.32
chr11	87813547	87814107	568:82.23
chr11	103403843	103405409	1578:78.08
chr11	103408167	103408760	603:81.05
chr11	103408898	103409220	338:84.32
chr11	103410802	103411031	232:80.34
chr11	123003605	123003677	72:98.61
chr12	41363634	41363723	89:98.88
chr12	130315598	130315801	203:84.73
chr13	55971633	55971756	123:91.87
chr13	109424124	109424380	256:99.22
chr14	32484097	32485118	1024:93.07
chr14	83588240	83589113	878:81.46
chr16	3371715	3372107	391:85.57
chr16	69358694	69358818	124:88.71
chr17	19598558	19599608	1051:82.68
chr17	19600723	19600960	239:90.79
chr17	19601272	19601884	610:82.27
chr17	19603012	19603422	415:85.61
chr17	22519194	22520966	1774:82.10
chr17	22522034	22532515	10540:83.59
chr17	22532511	22532766	256:87.89
chr17	53105732	53106385	653:96.17
chr18	2842199	2842354	156:93.59
chr18	47853245	47853437	192:97.40
chr2	49229627	49229899	272:94.85
chr2	87824889	87825365	476:95.38
chr2	117024319	117025502	1180:78.30
chr2	131383702	131384704	998:78.27
chr2	140217251	140217872	620:81.24
chr2	148881725	148881857	132:98.48
chr2	155263464	155264802	1337:81.99
chr2	211775565	211776222	651:81.80
chr2	226722268	226722426	159:91.82
chr20	57357934	57359255	1330:81.85
chr21	10014854	10015014	160:98.75
chr3	40253146	40253767	623:84.03
chr3	68659055	68659131	76:96.05
chr3	96617187	96618510	1323:95.47
chr3	160947653	160948042	390:85.79
chr4	12640293	12640635	342:93.86
chr4	27730423	27730575	152:94.08
chr4	55328159	55328290	131:96.18
chr4	78008521	78008761	240:91.67
chr4	89731832	89732017	181:87.03
chr4	92701827	92702367	537:83.06
chr4	116297740	116299395	1642:80.50
chr4	116299585	116300309	749:80.72
chr4	128081404	128081782	386:85.57
chr4	155463643	155466467	2823:81.32
chr4	162421366	162421541	175:93.71
chr5	80650021	80652368	2357:94.36
chr5	94567455	94570918	3463:87.31
chr5	100045937	100054737	8795:88.88
chr5	106553362	106553529	167:91.62
chr5	123760801	123761766	964:84.58
chr5	134923308	134928527	5219:94.06
chr6	61574102	61574629	527:90.91
chr7	45251963	45252127	164:95.12
chr7	57187448	57187834	383:83.89
chr7	64109917	64110546	623:80.41
chr7	68736527	68736633	106:94.34
chr7	141804968	141805475	508:83.40
chr7	142665176	142667693	2520:84.08
chr7	145997332	145997432	100:98.00
chr7_KI270803v1_alt	667729	670246	2520:84.04
chr8	33013213	33014525	1340:79.11
chr8	67585388	67585589	201:84.08
chr8	76201902	76202139	238:88.24
chr8	99495869	99495953	84:98.81
chr8	110934212	110934947	714:80.65
chr9	33656610	33659130	2520:84.19
chr9	34999143	34999294	152:87.50
chr9	80565651	80565931	283:80.63
chr9	92539379	92539608	230:88.74
chrX	55179759	55182209	2452:80.40
chrX	55182979	55184027	1050:82.33
chrX	126471703	126472452	750:93.07
chrX	126472466	126472732	267:96.63
chrX	126472730	126473284	554:93.68
chrY	4344780	4344851	71:100.00
chrY	9141895	9141961	66:100.00
